flex_1,flex_2,flex_3,flex_4,flex_5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2.28,1.7500000000000002,1.7500000000000002,3.2099999999999995,3.05,12840.0,12220.0,312.0,-3233.0,-1684.0,-1911.0,Z
2.3,1.72,1.77,3.26,3.03,12824.0,12076.0,324.0,-3429.0,-1649.0,-2197.0,Z
2.21,1.71,1.68,3.11,3.06,12936.0,12176.0,408.0,-3729.0,-1991.0,-2595.0,Z
2.23,1.76,1.73,3.26,3.02,12932.0,12568.0,412.0,-4618.0,-3284.0,-3080.0,Z
2.23,1.7399999999999998,1.66,3.25,3.05,13164.0,12536.0,1432.0,-5029.0,-2805.0,-3091.0,Z
2.25,1.66,1.7399999999999998,3.25,2.99,13200.0,12452.0,1508.0,-6344.0,-4763.0,-3430.0,Z
2.2,1.73,1.76,3.2,3.05,12748.0,12264.0,2384.0,-5951.0,-3405.0,-2770.0,Z
2.22,1.76,1.73,3.2400000000000007,3.02,11732.0,12572.0,2800.0,-6532.0,-4721.0,-3070.0,Z
2.17,1.76,1.73,3.2400000000000007,3.06,10652.0,12812.0,3532.0,-6848.0,-4840.0,-3498.0,Z
2.25,1.73,1.7500000000000002,3.2,3.0,10300.0,13036.0,3532.0,-7106.0,-5379.0,-4357.0,Z
2.25,1.7500000000000002,1.66,3.2400000000000007,3.06,10968.0,12140.0,3704.0,-7745.0,-6829.0,-5083.0,Z
2.23,1.76,1.7500000000000002,3.2199999999999998,3.06,11156.0,12128.0,4116.0,-6969.0,-5124.0,-4526.0,Z
2.22,1.73,1.76,3.2400000000000007,2.99,11172.0,12020.0,4616.0,-7108.0,-5760.0,-4328.0,Z
2.26,1.76,1.7399999999999998,3.2300000000000004,3.05,10676.0,12356.0,4440.0,-6590.0,-4574.0,-3555.0,Z
2.21,1.69,1.71,3.2400000000000007,3.06,10312.0,12544.0,4656.0,-6728.0,-5411.0,-3188.0,Z
2.22,1.69,1.7500000000000002,3.25,3.05,9628.0,12304.0,4356.0,-6426.0,-5321.0,-2619.0,Z
2.26,1.7500000000000002,1.77,3.2,3.05,9132.0,12696.0,4264.0,-6195.0,-5311.0,-2530.0,Z
2.24,1.7399999999999998,1.76,3.2400000000000007,2.93,8904.0,12624.0,4720.0,-5896.0,-5749.0,-2606.0,Z
2.25,1.77,1.72,3.2,3.03,9084.0,12896.0,4448.0,-5872.0,-5609.0,-2691.0,Z
2.23,1.7500000000000002,1.7500000000000002,3.2300000000000004,3.06,9988.0,12624.0,4580.0,-6311.0,-6503.0,-2781.0,Z
2.09,1.66,1.7000000000000002,3.3000000000000003,3.06,10204.0,12564.0,5044.0,-4940.0,-4197.0,-1758.0,Z
2.3,1.66,1.76,3.2199999999999998,2.91,10124.0,12884.0,4280.0,-5751.0,-5870.0,-1927.0,Z
2.2,1.66,1.69,3.2400000000000007,3.02,9084.0,13408.0,5356.0,-5994.0,-4809.0,-2000.0,Z
2.23,1.7500000000000002,1.7500000000000002,3.2300000000000004,3.04,9828.0,12984.0,4304.0,-7370.0,-6134.0,-3184.0,Z
2.24,1.73,1.7399999999999998,3.2099999999999995,3.04,9860.0,12548.0,4964.0,-6721.0,-3845.0,-2870.0,Z
2.28,1.76,1.73,3.2400000000000007,3.06,9680.0,12104.0,4400.0,-6491.0,-3881.0,-2637.0,Z
2.23,1.72,1.76,3.2099999999999995,3.06,9368.0,12612.0,5100.0,-5939.0,-3903.0,-2498.0,Z
2.21,1.77,1.72,3.19,3.02,9428.0,12720.0,5332.0,-6346.0,-5049.0,-2393.0,Z
2.25,1.7500000000000002,1.77,3.02,3.05,8656.0,12996.0,5864.0,-6269.0,-4458.0,-2149.0,Z
2.3,1.73,1.7399999999999998,3.2099999999999995,3.03,8240.0,13084.0,6056.0,-6732.0,-5085.0,-2336.0,Z
2.26,1.7500000000000002,1.7500000000000002,3.05,3.06,8412.0,13232.0,6476.0,-6475.0,-4992.0,-2554.0,Z
2.21,1.67,1.7500000000000002,3.2400000000000007,3.06,8760.0,12756.0,6756.0,-6117.0,-4396.0,-2481.0,Z
2.23,1.76,1.73,3.2,3.08,8608.0,12880.0,6712.0,-5615.0,-3579.0,-2289.0,Z
2.35,1.7399999999999998,1.73,3.2300000000000004,3.06,8220.0,12984.0,7044.0,-5356.0,-3279.0,-2082.0,Z
2.23,1.7500000000000002,1.72,3.2400000000000007,3.06,7956.0,12728.0,7256.0,-5296.0,-3699.0,-1707.0,Z
2.24,1.73,1.71,3.2300000000000004,3.01,7832.0,12740.0,7380.0,-5047.0,-3353.0,-1256.0,Z
2.21,1.76,1.73,3.2400000000000007,3.07,7884.0,12840.0,7524.0,-4943.0,-3509.0,-1118.0,Z
2.24,1.73,1.76,3.25,3.04,7760.0,12900.0,7576.0,-4675.0,-3152.0,-953.0,Z
2.23,1.7500000000000002,1.73,3.2099999999999995,3.09,7948.0,12856.0,7664.0,-4611.0,-3060.0,-995.0,Z
2.25,1.73,1.72,3.2300000000000004,3.05,8412.0,12792.0,7788.0,-4523.0,-2994.0,-1023.0,Z
2.24,1.73,1.77,3.26,3.01,8656.0,12732.0,7976.0,-4212.0,-2083.0,-946.0,Z
2.22,1.73,1.77,3.2300000000000004,3.05,8892.0,12676.0,8388.0,-3940.0,-1415.0,-857.0,Z
2.23,1.72,1.7500000000000002,3.2099999999999995,3.06,8972.0,12916.0,8440.0,-3643.0,-839.0,-782.0,Z
2.25,1.76,1.76,3.26,3.07,8708.0,12748.0,8316.0,-3390.0,-514.0,-849.0,Z
2.3,1.69,1.7000000000000002,3.1400000000000006,3.01,8448.0,12976.0,8216.0,-2982.0,13.0,-904.0,Z
2.19,1.76,1.77,3.25,3.05,8296.0,13180.0,8048.0,-2840.0,-422.0,-1175.0,Z
2.24,1.72,1.76,3.2400000000000007,3.06,8432.0,13152.0,8300.0,-2687.0,-628.0,-1359.0,Z
2.25,1.71,1.77,3.25,2.88,8688.0,13128.0,8032.0,-2253.0,-270.0,-1344.0,Z
2.22,1.7500000000000002,1.77,3.2400000000000007,3.06,8760.0,13196.0,8256.0,-1946.0,-447.0,-1435.0,Z
2.25,1.73,1.7399999999999998,3.2099999999999995,3.04,9076.0,13260.0,7952.0,-1588.0,-212.0,-1359.0,Z
2.22,1.76,1.76,3.2300000000000004,3.06,8736.0,13308.0,7828.0,-1275.0,-29.0,-1266.0,Z
2.25,1.76,1.71,3.2099999999999995,3.04,8412.0,13552.0,7628.0,-1009.0,-28.0,-1235.0,Z
2.19,1.7500000000000002,1.7500000000000002,3.2300000000000004,3.07,8488.0,13400.0,7600.0,-932.0,-449.0,-1239.0,Z
2.21,1.73,1.7500000000000002,3.2300000000000004,3.07,8228.0,13344.0,7428.0,-607.0,-276.0,-1027.0,Z
2.23,1.73,1.76,3.2199999999999998,3.06,8316.0,13128.0,7440.0,-471.0,-616.0,-964.0,Z
2.22,1.71,1.81,3.2400000000000007,3.06,8400.0,13144.0,7332.0,-256.0,-312.0,-806.0,Z
2.24,1.76,1.7500000000000002,3.2400000000000007,2.92,8568.0,12984.0,7376.0,-141.0,-139.0,-612.0,Z
2.25,1.66,1.76,3.2400000000000007,3.07,8868.0,12976.0,7328.0,-51.0,-91.0,-352.0,Z
2.25,1.73,1.72,3.2400000000000007,3.03,8844.0,12908.0,7572.0,122.0,340.0,-22.0,Z
2.25,1.76,1.73,3.2300000000000004,3.06,8696.0,13020.0,7172.0,108.0,385.0,127.0,Z
2.23,1.76,1.67,3.2199999999999998,3.07,8620.0,12988.0,7140.0,259.0,323.0,354.0,Z
2.24,1.7500000000000002,1.7399999999999998,3.25,3.06,8384.0,12916.0,6960.0,216.0,-172.0,318.0,Z
2.23,1.76,1.7399999999999998,3.2300000000000004,3.06,8780.0,12816.0,6840.0,467.0,82.0,315.0,Z
2.25,1.71,1.76,3.2400000000000007,3.08,8704.0,12788.0,6716.0,453.0,-164.0,316.0,Z
2.23,1.7399999999999998,1.76,3.19,3.01,8824.0,12732.0,6664.0,485.0,-403.0,215.0,Z
2.25,1.7500000000000002,1.76,3.2300000000000004,3.08,8920.0,12880.0,6700.0,514.0,-526.0,136.0,Z
2.24,1.77,1.7500000000000002,3.2300000000000004,3.03,9088.0,12940.0,6544.0,586.0,-278.0,53.0,Z
2.23,1.76,1.76,3.26,3.06,8988.0,13040.0,6300.0,398.0,-726.0,-78.0,Z
2.24,1.77,1.76,3.25,3.07,9020.0,13032.0,6396.0,348.0,-606.0,-121.0,Z
2.23,1.69,1.77,3.2,3.05,8996.0,12956.0,6308.0,237.0,-572.0,-188.0,Z
2.21,1.6500000000000001,1.77,3.18,2.94,8888.0,13080.0,6220.0,136.0,-187.0,-277.0,Z
2.25,1.7399999999999998,1.69,3.2199999999999998,3.01,8780.0,13256.0,6100.0,-9.0,61.0,-272.0,Z
2.25,1.76,1.76,3.2,3.06,8908.0,13224.0,6556.0,-109.0,89.0,-331.0,Z
2.23,1.7500000000000002,1.76,3.2300000000000004,3.03,8716.0,13232.0,5912.0,-157.0,-46.0,-268.0,Z
2.22,1.73,1.76,3.2300000000000004,3.08,8724.0,12996.0,6356.0,-111.0,370.0,-112.0,Z
2.23,1.7500000000000002,1.73,3.2400000000000007,3.06,8700.0,13240.0,6044.0,-279.0,283.0,-95.0,Z
2.19,1.7500000000000002,1.73,3.2400000000000007,3.03,8548.0,13168.0,6344.0,-254.0,428.0,-30.0,Z
2.22,1.7500000000000002,1.76,3.2199999999999998,3.06,8480.0,13188.0,6312.0,-344.0,485.0,14.0,Z
2.23,1.7399999999999998,1.73,3.2400000000000007,3.07,8516.0,13168.0,6444.0,-359.0,574.0,76.0,Z
2.24,1.72,1.69,3.26,3.03,8596.0,13048.0,6392.0,-515.0,497.0,129.0,Z
2.24,1.76,1.73,3.2300000000000004,3.07,8724.0,13064.0,6516.0,-517.0,630.0,282.0,Z
2.18,1.6399999999999997,1.76,3.2400000000000007,2.87,8696.0,13104.0,6500.0,-399.0,887.0,436.0,Z
2.23,1.7500000000000002,1.72,3.2,3.08,8760.0,13128.0,6420.0,-287.0,985.0,542.0,Z
2.21,1.6500000000000001,1.7500000000000002,3.08,3.01,8520.0,13192.0,6464.0,6.0,1311.0,608.0,Z
2.23,1.7000000000000002,1.73,3.2099999999999995,3.06,8500.0,13328.0,6448.0,131.0,1124.0,569.0,Z
2.25,1.76,1.73,3.2400000000000007,3.06,8500.0,13528.0,6448.0,261.0,965.0,513.0,Z
2.23,1.73,1.77,3.2400000000000007,3.08,8716.0,13212.0,6432.0,259.0,723.0,455.0,Z
2.23,1.73,1.77,3.2199999999999998,3.05,8596.0,13256.0,6400.0,341.0,719.0,464.0,Z
2.24,1.7500000000000002,1.67,3.2300000000000004,3.06,8824.0,13320.0,6396.0,285.0,558.0,339.0,Z
